鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
安平區,房地(土地+建物)+車位,臺南市安平區文平路２９０號十七樓,26.26,都市：其他:住宅區,,,1080901,土地1建物1車位1,十七層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100413,217.87,3,2,2,有,有,15910000,77722,坡道平面,29.25,1250000,預售屋、或土地及建物分件登記案件；,RPPQMLRLQHGGFAD28DA,118.14,13.8,0.0,有,
安平區,房地(土地+建物)+車位,臺南市安平區文平路２７８號十二樓,37.49,都市：其他:住宅區,,,1080508,土地1建物1車位2,十二層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100413,312.67,4,2,3,有,有,21790000,75107,坡道平面,58.5,2700000,預售屋、或土地及建物分件登記案件；,RPUQMLRLQHGGFAD78DA,160.64,16.42,0.0,有,
中西區,房地(土地+建物),臺南市中西區開山路２４５號四樓之１,12.85,都市：其他:商業區,,,1100711,土地2建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800515,128.79,3,2,2,有,有,4900000,38046,,0.0,0,,RPUNMLNJRHGGFAD97DA,102.76,5.74,0.0,有,
北區,房地(土地+建物),臺南市北區成功路４１０巷２６號五樓之３,24.23,都市：其他:細部計畫道路用地,,,1100820,土地3建物1車位0,五層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1100507,69.87,2,1,1,有,有,6840000,97896,,0.0,0,包含公共設施保留地用地；,RPRNMLOJRHGGFAD77DA,49.55,3.59,0.0,有,
安平區,房地(土地+建物)+車位,臺南市安平區文平路２８８號十三樓,26.89,都市：其他:住宅區,,,1080503,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100413,223.07,3,2,2,有,有,15670000,74399,坡道平面,29.25,1250000,預售屋、或土地及建物分件登記案件；,RPUPMLQJRHGGFAD48DA,121.46,14.14,0.0,有,
安平區,房地(土地+建物)+車位,臺南市安平區文平路２９６號十三樓,37.28,都市：其他:住宅區,,,1080923,土地1建物1車位2,十三層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100413,310.33000000000004,4,2,3,有,有,21920000,76012,坡道平面,56.16,2600000,預售屋、或土地及建物分件登記案件；,RPVPMLQJRHGGFAD58DA,160.64,16.42,0.0,有,
中西區,房地(土地+建物),臺南市中西區文賢路１３號三樓之１３,5.87,都市：其他:細部計畫道路用地,,,1100829,土地6建物1車位0,三層，走廊,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800213,41.97,1,1,1,有,有,1750000,41696,,0.0,0,,RPPOMLRJRHGGFAD97DA,26.83,5.9,0.0,有,001
安平區,房地(土地+建物)+車位,臺南市安平區文平路２８６號十五樓,26.89,都市：其他:住宅區,,,1081003,土地1建物1車位1,十五層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100413,223.07,3,2,2,有,有,15970000,75947,坡道平面,29.25,1250000,預售屋、或土地及建物分件登記案件；,RPSNMLSJRHGGFAD28DA,121.46,14.14,0.0,有,
北區,房地(土地+建物)+車位,臺南市北區文成三路３０３號五樓之１,30.43,都市：其他:住宅區,,,1080728,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100623,170.44,4,2,2,有,有,12500000,73340,坡道平面,16.61,0,預售屋、或土地及建物分件登記案件；,RPWPMLSJRHGGFAD88DA,86.93,13.04,0.0,有,
